Round:2; max power:1382.62; sample size:159; Yaw:210.5; Pitch: 21.9
Round:64; max power:2310.62; sample size:180; Yaw:5.9; Pitch: 160.8
Round:66; max power:2582.11; sample size:178; Yaw:5.9; Pitch: 16.5
Round:68; max power:2429.08; sample size:177; Yaw:5.7; Pitch: 160.6
Round:70; max power:2422.33; sample size:175; Yaw:5.6; Pitch: 160.6
Round:72; max power:2201.97; sample size:176; Yaw:5.9; Pitch: 160.6
Round:74; max power:2116.6; sample size:179; Yaw:205.8; Pitch: 91.1
Round:76; max power:2001.77; sample size:178; Yaw:5.8; Pitch: 16.6
Round:78; max power:2034.31; sample size:176; Yaw:208.1; Pitch: 20.8
Round:80; max power:2186.56; sample size:176; Yaw:205.7; Pitch: 91.2
Round:82; max power:1932.76; sample size:177; Yaw:205.6; Pitch: 91.3
Round:84; max power:1936.57; sample size:183; Yaw:205.3; Pitch: 91.3
Round:86; max power:2233.1; sample size:181; Yaw:206.1; Pitch: 91.3
Round:88; max power:2215.45; sample size:182; Yaw:206.3; Pitch: 91.3
Round:90; max power:2189.24; sample size:179; Yaw:5.8; Pitch: 161.4
Round:92; max power:2394.38; sample size:174; Yaw:205.6; Pitch: 91.3
Round:94; max power:2572.64; sample size:166; Yaw:204.7; Pitch: 91.1
Round:96; max power:2656; sample size:167; Yaw:204.4; Pitch: 91.4
Round:98; max power:2424.16; sample size:169; Yaw:204.7; Pitch: 91.3
Round:100; max power:2114.35; sample size:171; Yaw:86.5; Pitch: 25.2
Round:102; max power:2105.88; sample size:169; Yaw:203.4; Pitch: 91.3
Round:104; max power:2512.76; sample size:163; Yaw:203.2; Pitch: 91.3
Round:106; max power:2536.73; sample size:162; Yaw:203.2; Pitch: 91.2
Round:108; max power:2464.75; sample size:162; Yaw:203.4; Pitch: 91.7
Round:110; max power:2536.6; sample size:165; Yaw:203.6; Pitch: 91.5
Round:112; max power:2117.85; sample size:168; Yaw:203.5; Pitch: 91.2
Round:114; max power:2566.48; sample size:173; Yaw:330.1; Pitch: 35.6
Round:116; max power:2766.42; sample size:173; Yaw:329.8; Pitch: 35.1
Round:118; max power:2321.97; sample size:172; Yaw:329.7; Pitch: 35.1
Round:120; max power:2380.28; sample size:171; Yaw:329.6; Pitch: 35.4
Round:122; max power:2730.42; sample size:173; Yaw:329.3; Pitch: 35.4
Round:124; max power:2078.98; sample size:183; Yaw:329.4; Pitch: 35.3
Round:126; max power:2020.39; sample size:187; Yaw:207; Pitch: 117
Round:128; max power:1923.5; sample size:189; Yaw:347.8; Pitch: 28.1
Round:130; max power:3263.54; sample size:102; Yaw:204.6; Pitch: 91.1
Round:132; max power:3557.9; sample size:102; Yaw:204.4; Pitch: 91.3
Round:134; max power:3680.19; sample size:102; Yaw:205.7; Pitch: 91.2
Round:136; max power:2567.4; sample size:194; Yaw:205.2; Pitch: 91.2
Round:138; max power:2475.33; sample size:193; Yaw:205.2; Pitch: 91.4
Round:140; max power:2544.85; sample size:193; Yaw:205.3; Pitch: 91.3
Round:142; max power:2512.89; sample size:191; Yaw:205.3; Pitch: 91.2
Round:144; max power:2913.98; sample size:187; Yaw:205.3; Pitch: 91.2
Round:146; max power:2482.52; sample size:179; Yaw:205.2; Pitch: 91.4
Round:148; max power:1840.15; sample size:178; Yaw:204.9; Pitch: 118.2
Round:150; max power:1792.34; sample size:178; Yaw:205.1; Pitch: 118.1
Round:152; max power:1764.43; sample size:175; Yaw:328.9; Pitch: 35.7
Round:154; max power:1503.28; sample size:179; Yaw:340.1; Pitch: 150.7
Round:156; max power:1606.98; sample size:180; Yaw:219.5; Pitch: 31.1
Round:158; max power:1760.46; sample size:178; Yaw:219.5; Pitch: 31.1
Round:160; max power:1959.18; sample size:181; Yaw:219.9; Pitch: 31
Round:162; max power:1989.59; sample size:181; Yaw:219.9; Pitch: 30.9
Round:164; max power:2127.82; sample size:182; Yaw:341.2; Pitch: 150.3
Round:166; max power:2830.93; sample size:185; Yaw:342.6; Pitch: 38.1
Round:168; max power:3045.4; sample size:182; Yaw:343.4; Pitch: 38
Round:170; max power:3359.43; sample size:180; Yaw:343.1; Pitch: 99
Round:172; max power:3409.27; sample size:176; Yaw:342.6; Pitch: 77.7
Round:174; max power:3455.55; sample size:171; Yaw:202.6; Pitch: 91.3
Round:176; max power:3572.07; sample size:171; Yaw:202.8; Pitch: 91.6
Round:178; max power:3477.84; sample size:169; Yaw:202.8; Pitch: 91.6
Round:180; max power:3114.28; sample size:166; Yaw:202.9; Pitch: 91.2
Round:182; max power:2855.94; sample size:170; Yaw:202.7; Pitch: 91.2
Round:184; max power:2059.7; sample size:163; Yaw:347.6; Pitch: 158.1
Round:186; max power:2358.02; sample size:162; Yaw:330.3; Pitch: 35.6
Round:188; max power:2182.72; sample size:159; Yaw:330.2; Pitch: 35.6
Round:190; max power:1871.55; sample size:162; Yaw:219.9; Pitch: 30.8
Round:192; max power:1749.77; sample size:163; Yaw:219.9; Pitch: 31
Round:194; max power:1646.33; sample size:163; Yaw:202.3; Pitch: 52.9
Round:196; max power:1653.93; sample size:165; Yaw:202.4; Pitch: 52.8
Round:198; max power:1612.84; sample size:161; Yaw:5.7; Pitch: 160.6
Round:200; max power:1733.54; sample size:161; Yaw:5.8; Pitch: 160.7
Round:202; max power:1894.85; sample size:157; Yaw:290.5; Pitch: 163.9
Round:204; max power:1921.27; sample size:162; Yaw:290.9; Pitch: 164
Round:206; max power:2001.27; sample size:164; Yaw:291.2; Pitch: 164.1
Round:208; max power:1955.57; sample size:166; Yaw:291.2; Pitch: 164
Round:210; max power:1959.86; sample size:166; Yaw:291.1; Pitch: 164.1
Round:212; max power:1813.93; sample size:162; Yaw:344.4; Pitch: 149.4
Round:214; max power:1774.68; sample size:160; Yaw:208; Pitch: 44
Round:216; max power:1712.91; sample size:157; Yaw:208; Pitch: 21
Round:218; max power:1778.15; sample size:161; Yaw:208.6; Pitch: 21.2
Round:220; max power:1573.13; sample size:162; Yaw:208.4; Pitch: 21.1
Round:222; max power:1376.2; sample size:166; Yaw:208.5; Pitch: 20.9
Round:224; max power:1614.8; sample size:160; Yaw:219.5; Pitch: 159.8
Round:226; max power:1429.63; sample size:158; Yaw:264.6; Pitch: 166.8
Round:228; max power:1760.2; sample size:154; Yaw:220.4; Pitch: 159.3
Round:230; max power:1610.4; sample size:159; Yaw:220.9; Pitch: 159.4
Round:232; max power:1173.83; sample size:162; Yaw:221.3; Pitch: 159.7
Round:234; max power:1391.82; sample size:164; Yaw:221.5; Pitch: 159.7
Round:236; max power:1333.37; sample size:168; Yaw:220.4; Pitch: 160
Round:238; max power:1078.29; sample size:168; Yaw:219.9; Pitch: 159.8
Round:240; max power:1041.66; sample size:169; Yaw:200.7; Pitch: 155.7
Round:242; max power:1178.96; sample size:174; Yaw:60.1; Pitch: 162.4
Round:244; max power:1217.3; sample size:176; Yaw:202.7; Pitch: 27.3
Round:246; max power:1249.5; sample size:180; Yaw:202.2; Pitch: 139.4
Round:248; max power:1348.6; sample size:185; Yaw:62; Pitch: 162.2
Round:250; max power:806.874; sample size:425; Yaw:60.2; Pitch: 154.4
Round:252; max power:936.028; sample size:171; Yaw:301.1; Pitch: 133
Round:254; max power:1193.83; sample size:167; Yaw:301; Pitch: 26.7
Round:256; max power:1751.21; sample size:169; Yaw:300.6; Pitch: 88.9
Round:258; max power:1984.61; sample size:168; Yaw:300.4; Pitch: 88.5
Round:260; max power:1953.04; sample size:170; Yaw:300.1; Pitch: 88.3
Round:262; max power:2032.48; sample size:171; Yaw:300.6; Pitch: 87.7
Round:264; max power:2776.88; sample size:167; Yaw:299.9; Pitch: 88.3
Round:266; max power:2028.41; sample size:263; Yaw:300.2; Pitch: 88.8
Round:268; max power:1695.11; sample size:264; Yaw:300.9; Pitch: 89.6
Round:270; max power:2040.27; sample size:185; Yaw:332; Pitch: 178.4
Round:272; max power:2414.4; sample size:179; Yaw:208.2; Pitch: 63.8
Round:274; max power:3615.82; sample size:175; Yaw:318.1; Pitch: 117.1
Round:276; max power:4907.72; sample size:173; Yaw:318.8; Pitch: 89.9
Round:278; max power:4341.36; sample size:171; Yaw:318.9; Pitch: 81.9
Round:280; max power:3245.13; sample size:174; Yaw:319.5; Pitch: 43.7
Round:282; max power:3328.91; sample size:173; Yaw:319.3; Pitch: 43.7
Round:284; max power:2677.61; sample size:170; Yaw:318.9; Pitch: 119.1
Round:286; max power:2030.83; sample size:170; Yaw:308.8; Pitch: 121.3
Round:288; max power:2792.85; sample size:172; Yaw:318.9; Pitch: 117.6
Round:290; max power:3598.89; sample size:173; Yaw:294.5; Pitch: 98
Round:292; max power:4070.62; sample size:180; Yaw:294.5; Pitch: 94.5
Round:294; max power:4297.78; sample size:183; Yaw:294.2; Pitch: 94.8
Round:296; max power:3543.4; sample size:180; Yaw:294.3; Pitch: 95.8
Round:298; max power:3327.25; sample size:180; Yaw:294.3; Pitch: 18.5
Round:300; max power:2845.52; sample size:179; Yaw:272.1; Pitch: 40.4
Round:302; max power:3363.94; sample size:177; Yaw:294.3; Pitch: 127.4
Round:304; max power:3974.39; sample size:179; Yaw:294.6; Pitch: 93.4
Round:306; max power:3091.04; sample size:173; Yaw:294.6; Pitch: 128.8
Round:308; max power:2935.71; sample size:173; Yaw:272.7; Pitch: 58
Round:310; max power:2687.77; sample size:172; Yaw:272.8; Pitch: 58.5
Round:312; max power:3085.32; sample size:171; Yaw:316.9; Pitch: 62
Round:314; max power:3622.52; sample size:167; Yaw:316.7; Pitch: 151.7
Round:316; max power:3896.3; sample size:164; Yaw:316.7; Pitch: 87.6
Round:318; max power:4107.19; sample size:163; Yaw:316.3; Pitch: 87.8
Round:320; max power:5046.76; sample size:163; Yaw:317.7; Pitch: 89.7
Round:322; max power:5613.28; sample size:161; Yaw:317.5; Pitch: 89.6
Round:324; max power:4650.65; sample size:161; Yaw:317.4; Pitch: 90.3
Round:326; max power:5251.57; sample size:164; Yaw:317.4; Pitch: 89.8
Round:328; max power:4522.11; sample size:169; Yaw:316.5; Pitch: 80.7
Round:330; max power:4842.68; sample size:171; Yaw:316.2; Pitch: 80.9
Round:332; max power:3702.64; sample size:168; Yaw:315.7; Pitch: 81.5
Round:334; max power:3426.98; sample size:175; Yaw:316.3; Pitch: 79.6
Round:336; max power:2533.69; sample size:182; Yaw:316.3; Pitch: 75.9
Round:338; max power:2633.69; sample size:180; Yaw:316.1; Pitch: 73.1
Round:340; max power:2317.41; sample size:179; Yaw:316.1; Pitch: 71.7
Round:342; max power:2574.78; sample size:178; Yaw:302.9; Pitch: 156.8
Round:344; max power:1771.55; sample size:180; Yaw:302.5; Pitch: 156.6
Round:346; max power:1801.83; sample size:175; Yaw:294.7; Pitch: 148.1
Round:348; max power:2577.91; sample size:171; Yaw:240.6; Pitch: 100.6
Round:350; max power:2476.57; sample size:166; Yaw:240.6; Pitch: 100.2
Round:352; max power:2050.49; sample size:161; Yaw:241.9; Pitch: 121.6
Round:354; max power:2131.21; sample size:160; Yaw:241.9; Pitch: 61.7
Round:356; max power:2675.35; sample size:164; Yaw:294.6; Pitch: 155.9
Round:358; max power:1985.76; sample size:165; Yaw:295.3; Pitch: 137.5
Round:360; max power:2393.76; sample size:163; Yaw:294.9; Pitch: 130.8
Round:362; max power:2494.97; sample size:167; Yaw:294.9; Pitch: 155.7
Round:364; max power:2005.63; sample size:167; Yaw:327; Pitch: 13.2
Round:366; max power:2251.58; sample size:165; Yaw:317.4; Pitch: 119.9
Round:368; max power:2396.17; sample size:165; Yaw:317.2; Pitch: 119.7
Round:370; max power:2771.31; sample size:165; Yaw:317.4; Pitch: 119.9
Round:372; max power:3185.22; sample size:165; Yaw:317.8; Pitch: 119.5
Round:374; max power:4043; sample size:168; Yaw:318.5; Pitch: 14.6
Round:376; max power:3773.96; sample size:163; Yaw:318.5; Pitch: 14.5
Round:378; max power:3757.14; sample size:165; Yaw:318.5; Pitch: 161.8
Round:380; max power:3853.22; sample size:167; Yaw:291.4; Pitch: 47.8
Round:382; max power:4068.52; sample size:161; Yaw:291.4; Pitch: 47.8
Round:384; max power:3923.49; sample size:161; Yaw:291.9; Pitch: 47.7
Round:386; max power:4588.32; sample size:163; Yaw:291.9; Pitch: 48.1
Round:388; max power:4713.59; sample size:158; Yaw:292.1; Pitch: 48
Round:390; max power:4675.89; sample size:159; Yaw:291.6; Pitch: 22.5
Round:392; max power:4673.47; sample size:162; Yaw:291.7; Pitch: 22.5
Round:394; max power:4133.01; sample size:160; Yaw:292.4; Pitch: 22.5
Round:396; max power:3728.06; sample size:158; Yaw:292.5; Pitch: 32
Round:398; max power:3462.83; sample size:155; Yaw:317.8; Pitch: 119.4
Round:400; max power:3431.18; sample size:156; Yaw:318.3; Pitch: 119.5
Round:402; max power:2936.72; sample size:154; Yaw:318.1; Pitch: 119.4
Round:404; max power:2978.5; sample size:149; Yaw:318.3; Pitch: 118.9
Round:406; max power:2953.97; sample size:148; Yaw:318.8; Pitch: 119.1
Round:408; max power:3143.05; sample size:235; Yaw:292.3; Pitch: 48.5
Round:410; max power:2638.95; sample size:159; Yaw:319.1; Pitch: 167.6
Round:412; max power:2283.87; sample size:161; Yaw:234.3; Pitch: 64.8
Round:414; max power:2542.9; sample size:161; Yaw:234.4; Pitch: 64.7
Round:416; max power:2155.41; sample size:162; Yaw:234.4; Pitch: 6.9
Round:418; max power:1971.73; sample size:166; Yaw:296; Pitch: 129.8
Round:420; max power:1806.62; sample size:168; Yaw:232.9; Pitch: 6.8
Round:422; max power:1374.67; sample size:173; Yaw:232.6; Pitch: 6.7
Round:424; max power:1390.95; sample size:174; Yaw:316.8; Pitch: 131.1
Round:426; max power:1579.69; sample size:174; Yaw:231.7; Pitch: 5.9
Round:428; max power:1926.05; sample size:173; Yaw:331.3; Pitch: 131.2
Round:430; max power:2353.74; sample size:172; Yaw:330.6; Pitch: 78.9
Round:432; max power:2589.29; sample size:172; Yaw:330.6; Pitch: 78.6
Round:434; max power:3015.02; sample size:171; Yaw:324.6; Pitch: 87.8
Round:436; max power:3068.27; sample size:175; Yaw:324.6; Pitch: 87.6
Round:438; max power:2384.54; sample size:176; Yaw:324.3; Pitch: 87.9
Round:440; max power:2422.19; sample size:175; Yaw:324.2; Pitch: 87.3
Round:442; max power:2140.52; sample size:174; Yaw:324.6; Pitch: 85
Round:444; max power:2065.56; sample size:172; Yaw:17.1; Pitch: 173.6
Round:446; max power:2188.26; sample size:171; Yaw:17.8; Pitch: 89.3
Round:448; max power:2277.01; sample size:169; Yaw:18; Pitch: 88.1
Round:450; max power:2088.67; sample size:168; Yaw:17.8; Pitch: 87.5
Round:452; max power:2102.94; sample size:166; Yaw:302.4; Pitch: 42.3
Round:454; max power:2069.49; sample size:163; Yaw:301.8; Pitch: 66.2
Round:456; max power:1963.59; sample size:162; Yaw:17.8; Pitch: 88
Round:458; max power:2205.98; sample size:161; Yaw:315.5; Pitch: 92.1
Round:460; max power:2261.71; sample size:156; Yaw:315.5; Pitch: 13.7
Round:462; max power:2200.47; sample size:159; Yaw:315.4; Pitch: 12.3
Round:464; max power:2056.71; sample size:164; Yaw:315.4; Pitch: 12.8
Round:466; max power:1941.88; sample size:167; Yaw:8.9; Pitch: 100.5
Round:468; max power:1780.43; sample size:171; Yaw:315.2; Pitch: 76.2
Round:470; max power:1610.66; sample size:168; Yaw:315.1; Pitch: 101.3
Round:472; max power:1576.58; sample size:170; Yaw:18.2; Pitch: 87.6
Round:474; max power:1518; sample size:172; Yaw:316.3; Pitch: 92.4
Round:476; max power:1722.24; sample size:169; Yaw:316.7; Pitch: 92.8
Round:478; max power:1986.87; sample size:172; Yaw:308.7; Pitch: 58.9
Round:480; max power:1543.08; sample size:170; Yaw:308.4; Pitch: 58.7
Round:482; max power:1574.06; sample size:168; Yaw:307.9; Pitch: 121.9
Round:484; max power:1759.86; sample size:169; Yaw:325.7; Pitch: 63.5
Round:486; max power:1887.66; sample size:167; Yaw:307.6; Pitch: 58.5
Round:488; max power:1376.15; sample size:165; Yaw:307.7; Pitch: 132.2
Round:490; max power:1599.84; sample size:166; Yaw:310; Pitch: 117.6
Round:492; max power:1275.57; sample size:162; Yaw:309.3; Pitch: 57.9
Round:494; max power:1613.38; sample size:157; Yaw:330.2; Pitch: 27.5
Round:496; max power:1721.49; sample size:155; Yaw:225.7; Pitch: 41.4
Round:498; max power:1695.57; sample size:158; Yaw:226.3; Pitch: 40.8
Round:500; max power:1791; sample size:164; Yaw:235.1; Pitch: 35.1
Round:502; max power:2047.69; sample size:166; Yaw:322.5; Pitch: 103
Round:504; max power:2529.6; sample size:163; Yaw:233.4; Pitch: 89.1
Round:506; max power:1929.67; sample size:163; Yaw:233.2; Pitch: 85.2
Round:508; max power:2819.64; sample size:161; Yaw:233.8; Pitch: 89.1
Round:510; max power:3432.83; sample size:163; Yaw:302.5; Pitch: 140.8
Round:512; max power:3323.22; sample size:164; Yaw:302.6; Pitch: 140.8
Round:514; max power:3400.08; sample size:170; Yaw:302.5; Pitch: 77.5
Round:516; max power:4153.18; sample size:172; Yaw:302.1; Pitch: 97.7
Round:518; max power:2681.81; sample size:172; Yaw:301.9; Pitch: 76.6
Round:520; max power:2276.6; sample size:174; Yaw:301.7; Pitch: 76.2
Round:522; max power:1592.36; sample size:173; Yaw:302; Pitch: 46
Round:524; max power:1487.52; sample size:177; Yaw:301.6; Pitch: 73.7
Round:526; max power:1367.81; sample size:179; Yaw:266.9; Pitch: 50.6
Round:528; max power:1056.21; sample size:177; Yaw:308; Pitch: 142.6
Round:530; max power:1424.99; sample size:175; Yaw:307.2; Pitch: 63.6
Round:532; max power:1421.46; sample size:174; Yaw:307.3; Pitch: 63.2
Round:534; max power:1277.64; sample size:175; Yaw:308.1; Pitch: -1
Round:536; max power:1753.49; sample size:168; Yaw:308.5; Pitch: -1
Round:538; max power:1455.23; sample size:175; Yaw:269.3; Pitch: -0.9
Round:540; max power:1292.11; sample size:173; Yaw:306.8; Pitch: -1
Round:542; max power:1085.7; sample size:171; Yaw:135; Pitch: 0.4
Round:544; max power:1274.69; sample size:170; Yaw:269.7; Pitch: -0.1
Round:546; max power:1323.97; sample size:177; Yaw:137.1; Pitch: 0.4
Round:548; max power:1475.99; sample size:179; Yaw:136.6; Pitch: 0.4
Round:550; max power:1322.84; sample size:180; Yaw:148.5; Pitch: 170.7
Round:552; max power:1143.18; sample size:179; Yaw:325.9; Pitch: 26.8
Round:554; max power:945.472; sample size:180; Yaw:324.8; Pitch: 121.4
Round:556; max power:1182.74; sample size:179; Yaw:324.5; Pitch: 26.1
Round:558; max power:975.081; sample size:176; Yaw:246.8; Pitch: 13.1
Round:560; max power:1091.86; sample size:177; Yaw:324.8; Pitch: 119.6
Round:562; max power:972.123; sample size:171; Yaw:80.8; Pitch: 130.4
Round:564; max power:1339.22; sample size:173; Yaw:81.5; Pitch: 20.1
Round:566; max power:1448.3; sample size:167; Yaw:81.5; Pitch: 90.2
Round:568; max power:1457.27; sample size:166; Yaw:81.8; Pitch: 20.5
Round:570; max power:1420.37; sample size:163; Yaw:82.1; Pitch: 20.6
Round:572; max power:1375.29; sample size:168; Yaw:81.5; Pitch: 12.6
Round:574; max power:1268.79; sample size:159; Yaw:313; Pitch: 25
Round:576; max power:1230.94; sample size:159; Yaw:268.5; Pitch: 18.9
Round:578; max power:1245.36; sample size:160; Yaw:313.3; Pitch: 25
Round:580; max power:1338.58; sample size:156; Yaw:313.3; Pitch: 24.9
Round:582; max power:1401.05; sample size:156; Yaw:328.8; Pitch: 181
Round:584; max power:1275.25; sample size:153; Yaw:314.6; Pitch: 25
Round:586; max power:1347.88; sample size:156; Yaw:327.9; Pitch: 163.1
Round:588; max power:1340.92; sample size:155; Yaw:348.6; Pitch: 168.2
Round:590; max power:1354.19; sample size:155; Yaw:348.5; Pitch: 168.1
Round:592; max power:1812.5; sample size:157; Yaw:328.2; Pitch: 162.8
Round:594; max power:1964.31; sample size:157; Yaw:328.5; Pitch: 162.4
Round:596; max power:1726.29; sample size:161; Yaw:327.3; Pitch: 163.4
Round:598; max power:2183.11; sample size:160; Yaw:327.1; Pitch: 164.1
Round:600; max power:2073.65; sample size:161; Yaw:327.2; Pitch: 164.1
Round:602; max power:1095.16; sample size:165; Yaw:327.1; Pitch: 164.4
Round:604; max power:1447.42; sample size:168; Yaw:326.8; Pitch: 164.4
Round:606; max power:1370.79; sample size:166; Yaw:326.2; Pitch: 165.1
Round:608; max power:961.747; sample size:166; Yaw:326.5; Pitch: 139.6
Round:610; max power:1069.87; sample size:169; Yaw:326.5; Pitch: 47.4
Round:612; max power:702.403; sample size:172; Yaw:236.2; Pitch: 171.5
Round:614; max power:817.13; sample size:172; Yaw:325.8; Pitch: 129
Round:616; max power:820.83; sample size:166; Yaw:304.6; Pitch: 34.9
Round:618; max power:1012.88; sample size:167; Yaw:279.8; Pitch: 159.6
Round:620; max power:989.266; sample size:164; Yaw:305.5; Pitch: 141.3
Round:622; max power:1481.63; sample size:167; Yaw:280.4; Pitch: 99.1
Round:624; max power:1391.01; sample size:165; Yaw:280; Pitch: 139.2
Round:626; max power:1512.7; sample size:165; Yaw:305.7; Pitch: 140.1
Round:628; max power:1748.54; sample size:167; Yaw:305.5; Pitch: 129.9
Round:630; max power:1985.19; sample size:168; Yaw:300.9; Pitch: 101.5
Round:632; max power:1825.91; sample size:166; Yaw:300.4; Pitch: 153.6
Round:634; max power:2665.89; sample size:163; Yaw:331.2; Pitch: 92.1
Round:636; max power:2024.16; sample size:165; Yaw:330.5; Pitch: 91.6
Round:638; max power:1649.86; sample size:164; Yaw:312.4; Pitch: 146.5
Round:640; max power:1319.01; sample size:168; Yaw:227.3; Pitch: 162.3
Round:642; max power:1846.07; sample size:162; Yaw:227.6; Pitch: 94.1
Round:644; max power:1270.89; sample size:165; Yaw:227; Pitch: 162.7
Round:646; max power:1511.21; sample size:161; Yaw:320.5; Pitch: 89.9
Round:648; max power:1291.49; sample size:163; Yaw:320.9; Pitch: 131.4
Round:650; max power:1149.04; sample size:164; Yaw:320.8; Pitch: 7.1
Round:652; max power:1102.15; sample size:163; Yaw:321.2; Pitch: 7.4
Round:654; max power:1054.15; sample size:162; Yaw:321; Pitch: 7.1
Round:656; max power:1081.34; sample size:165; Yaw:13.8; Pitch: 57.4
Round:658; max power:1096.07; sample size:165; Yaw:14.2; Pitch: 57.3
Round:660; max power:962.245; sample size:165; Yaw:121.2; Pitch: 169.8
Round:662; max power:837.667; sample size:168; Yaw:122.5; Pitch: 169.5
Round:664; max power:574.713; sample size:169; Yaw:235.3; Pitch: 156.3
Round:666; max power:917.7; sample size:169; Yaw:248.5; Pitch: 163.2
Round:668; max power:973.256; sample size:165; Yaw:248.6; Pitch: 162.7
Round:670; max power:1110.34; sample size:164; Yaw:297.7; Pitch: 130.9
Round:672; max power:1364.83; sample size:164; Yaw:312.6; Pitch: 169.3
Round:674; max power:982.731; sample size:165; Yaw:297.7; Pitch: 161.7
Round:676; max power:1046.69; sample size:165; Yaw:297.6; Pitch: 162.3
Round:678; max power:1373.76; sample size:165; Yaw:298.2; Pitch: 161.8
Round:680; max power:1421.03; sample size:162; Yaw:31.4; Pitch: 1
Round:682; max power:1987.49; sample size:162; Yaw:299.6; Pitch: 154.2
Round:684; max power:1712.53; sample size:165; Yaw:299.2; Pitch: 153.6
Round:686; max power:1345.37; sample size:171; Yaw:297.8; Pitch: 162
Round:688; max power:1157.8; sample size:175; Yaw:283.4; Pitch: 33.8
Round:690; max power:1308.11; sample size:179; Yaw:298.8; Pitch: 162.5
Round:692; max power:1768.35; sample size:181; Yaw:306.7; Pitch: 47.3
Round:694; max power:2214.07; sample size:179; Yaw:307.2; Pitch: 139.1
Round:696; max power:3102.09; sample size:174; Yaw:310.6; Pitch: 129.4
Round:698; max power:1425.48; sample size:259; Yaw:310.1; Pitch: 129.4
Round:700; max power:3963.26; sample size:181; Yaw:310.2; Pitch: 130.1
Round:702; max power:3578.84; sample size:176; Yaw:310.8; Pitch: 129.9
Round:704; max power:4299.52; sample size:170; Yaw:309.5; Pitch: 130.1
Round:706; max power:4069.26; sample size:172; Yaw:310; Pitch: 131.4
Round:708; max power:3502.37; sample size:165; Yaw:310; Pitch: 131.8
Round:710; max power:3754.21; sample size:168; Yaw:242.9; Pitch: 149.2
Round:712; max power:2887.48; sample size:172; Yaw:242; Pitch: 158
Round:714; max power:2707.63; sample size:175; Yaw:241.2; Pitch: 140.3
Round:716; max power:3009.27; sample size:175; Yaw:240.9; Pitch: 23.4
Round:718; max power:2565.73; sample size:172; Yaw:241; Pitch: 141.1
Round:720; max power:3376.37; sample size:173; Yaw:241; Pitch: 23.1
Round:722; max power:3041.54; sample size:169; Yaw:241.7; Pitch: 22.8
Round:724; max power:2617.24; sample size:166; Yaw:240.6; Pitch: 20.4
Round:726; max power:2653.35; sample size:162; Yaw:214.3; Pitch: 176.7
Round:728; max power:2048.35; sample size:169; Yaw:214.4; Pitch: 176.6
Round:730; max power:2113.37; sample size:171; Yaw:309.9; Pitch: 165.7
Round:732; max power:2917.18; sample size:171; Yaw:310.6; Pitch: 167
Round:734; max power:2825.07; sample size:170; Yaw:309.6; Pitch: 49.1
Round:736; max power:2224.66; sample size:169; Yaw:309.9; Pitch: 48.2
Round:738; max power:2119.56; sample size:171; Yaw:31.5; Pitch: 11.4
Round:740; max power:1885.47; sample size:168; Yaw:330.7; Pitch: 79.6
Round:742; max power:1939.12; sample size:163; Yaw:308.3; Pitch: 48.7
